"M0 z","M0 rho 68 percent lower","M0 rho 68 percent upper","M0 rho 95 percent lower","M0 rho 95 percent upper","M0 rho best","M1 z","M1 rho 68 percent lower","M1 rho 68 percent upper","M1 rho 95 percent lower","M1 rho 95 percent upper","M1 rho best","M2 z","M2 rho 68 percent lower","M2 rho 68 percent upper","M2 rho 95 percent lower","M2 rho 95 percent upper","M2 rho best","M3 z","M3 rho 68 percent lower","M3 rho 68 percent upper","M3 rho 95 percent lower","M3 rho 95 percent upper","M3 rho best","M4 z","M4 rho 68 percent lower","M4 rho 68 percent upper","M4 rho 95 percent lower","M4 rho 95 percent upper","M4 rho best","M5 z","M5 rho 68 percent lower","M5 rho 68 percent upper","M5 rho 95 percent lower","M5 rho 95 percent upper","M5 rho best"
-468.117,5.81423,5.84573,5.80462,5.86270,5.82711,-468.117,5.81423,5.84573,5.80462,5.86270,5.82711,-468.117,5.81423,5.84573,5.80462,5.86270,5.82711,-477.060,5.79349,5.82367,5.78656,5.83195,5.79385,-477.060,5.79349,5.82367,5.78656,5.83195,5.79385,-477.060,5.79349,5.82367,5.78656,5.83195,5.79385
-465.369,5.79178,5.82333,5.78144,5.84070,5.80889,-465.369,5.79178,5.82333,5.78144,5.84070,5.80889,-465.369,5.79178,5.82333,5.78144,5.84070,5.80889,-474.261,5.76795,5.79961,5.76034,5.80652,5.76604,-474.261,5.76795,5.79961,5.76034,5.80652,5.76604,-474.261,5.76795,5.79961,5.76034,5.80652,5.76604
-462.621,5.76790,5.80286,5.76069,5.82175,5.79260,-462.621,5.76790,5.80286,5.76069,5.82175,5.79260,-462.621,5.76790,5.80286,5.76069,5.82175,5.79260,-471.461,5.74192,5.77476,5.73539,5.78244,5.74022,-471.461,5.74192,5.77476,5.73539,5.78244,5.74022,-471.461,5.74192,5.77476,5.73539,5.78244,5.74022
-459.873,5.74751,5.78487,5.74344,5.80440,5.77863,-459.873,5.74751,5.78487,5.74344,5.80440,5.77863,-459.873,5.74751,5.78487,5.74344,5.80440,5.77863,-468.662,5.71897,5.75294,5.71320,5.76060,5.71716,-468.662,5.71897,5.75294,5.71320,5.76060,5.71716,-468.662,5.71897,5.75294,5.71320,5.76060,5.71716
-457.125,5.73156,5.77109,5.72446,5.78984,5.76731,-457.125,5.73156,5.77109,5.72446,5.78984,5.76731,-457.125,5.73156,5.77109,5.72446,5.78984,5.76731,-465.862,5.69933,5.73296,5.69369,5.74200,5.69754,-465.862,5.69933,5.73296,5.69369,5.74200,5.69754,-465.862,5.69933,5.73296,5.69369,5.74200,5.69754
-454.377,5.71938,5.75980,5.70933,5.77999,5.75895,-454.377,5.71938,5.75980,5.70933,5.77999,5.75895,-454.377,5.71938,5.75980,5.70933,5.77999,5.75895,-463.063,5.68347,5.71604,5.67677,5.72609,5.68189,-463.063,5.68347,5.71604,5.67677,5.72609,5.68189,-463.063,5.68347,5.71604,5.67677,5.72609,5.68189
-451.629,5.71079,5.75395,5.69989,5.77300,5.75383,-451.629,5.71079,5.75395,5.69989,5.77300,5.75383,-451.629,5.71079,5.75395,5.69989,5.77300,5.75383,-460.264,5.67343,5.70416,5.66415,5.71340,5.67061,-460.264,5.67343,5.70416,5.66415,5.71340,5.67061,-460.264,5.67343,5.70416,5.66415,5.71340,5.67061
-448.881,5.70643,5.75020,5.69568,5.76923,5.75225,-448.881,5.70643,5.75020,5.69568,5.76923,5.75225,-448.881,5.70643,5.75020,5.69568,5.76923,5.75225,-457.464,5.66600,5.69775,5.65521,5.70444,5.66395,-457.464,5.66600,5.69775,5.65521,5.70444,5.66395,-457.464,5.66600,5.69775,5.65521,5.70444,5.66395
-446.133,5.70735,5.75220,5.69680,5.76904,5.75454,-446.133,5.70735,5.75220,5.69680,5.76904,5.75454,-446.133,5.70735,5.75220,5.69680,5.76904,5.75454,-454.665,5.66290,5.69321,5.64963,5.69961,5.66203,-454.665,5.66290,5.69321,5.64963,5.69961,5.66203,-454.665,5.66290,5.69321,5.64963,5.69961,5.66203
-443.385,5.71567,5.75958,5.70539,5.77372,5.76105,-443.385,5.71567,5.75958,5.70539,5.77372,5.76105,-443.385,5.71567,5.75958,5.70539,5.77372,5.76105,-451.865,5.66445,5.69424,5.64950,5.70177,5.66486,-451.865,5.66445,5.69424,5.64950,5.70177,5.66486,-451.865,5.66445,5.69424,5.64950,5.70177,5.66486
-440.637,5.73298,5.77210,5.72022,5.78475,5.77214,-440.637,5.73298,5.77210,5.72022,5.78475,5.77214,-440.637,5.73298,5.77210,5.72022,5.78475,5.77214,-449.066,5.66990,5.69962,5.65471,5.70772,5.67239,-449.066,5.66990,5.69962,5.65471,5.70772,5.67239,-449.066,5.66990,5.69962,5.65471,5.70772,5.67239
-437.889,5.75549,5.79045,5.74071,5.80493,5.78819,-437.889,5.75549,5.79045,5.74071,5.80493,5.78819,-437.889,5.75549,5.79045,5.74071,5.80493,5.78819,-446.266,5.67928,5.71228,5.66495,5.71924,5.68450,-446.266,5.67928,5.71228,5.66495,5.71924,5.68450,-446.266,5.67928,5.71228,5.66495,5.71924,5.68450
-435.140,5.78222,5.81343,5.76604,5.83032,5.80950,-435.140,5.78222,5.81343,5.76604,5.83032,5.80950,-435.140,5.78222,5.81343,5.76604,5.83032,5.80950,-443.467,5.69352,5.72871,5.67881,5.73604,5.70103,-443.467,5.69352,5.72871,5.67881,5.73604,5.70103,-443.467,5.69352,5.72871,5.67881,5.73604,5.70103
-432.392,5.81349,5.84264,5.79784,5.86067,5.83627,-432.392,5.81349,5.84264,5.79784,5.86067,5.83627,-432.392,5.81349,5.84264,5.79784,5.86067,5.83627,-440.667,5.71308,5.74883,5.69757,5.75693,5.72178,-440.667,5.71308,5.74883,5.69757,5.75693,5.72178,-440.667,5.71308,5.74883,5.69757,5.75693,5.72178
-429.644,5.85148,5.88146,5.83561,5.89561,5.86854,-429.644,5.85148,5.88146,5.83561,5.89561,5.86854,-429.644,5.85148,5.88146,5.83561,5.89561,5.86854,-437.868,5.73835,5.77250,5.72176,5.78174,5.74652,-437.868,5.73835,5.77250,5.72176,5.78174,5.74652,-437.868,5.73835,5.77250,5.72176,5.78174,5.74652
-426.896,5.89423,5.92417,5.87866,5.93583,5.90610,-426.896,5.89423,5.92417,5.87866,5.93583,5.90610,-426.896,5.89423,5.92417,5.87866,5.93583,5.90610,-435.068,5.76771,5.79990,5.75109,5.81163,5.77500,-435.068,5.76771,5.79990,5.75109,5.81163,5.77500,-435.068,5.76771,5.79990,5.75109,5.81163,5.77500
-424.148,5.94043,5.96879,5.92559,5.98341,5.94851,-424.148,5.94043,5.96879,5.92559,5.98341,5.94851,-424.148,5.94043,5.96879,5.92559,5.98341,5.94851,-432.269,5.80147,5.83212,5.78500,5.84478,5.80692,-432.269,5.80147,5.83212,5.78500,5.84478,5.80692,-432.269,5.80147,5.83212,5.78500,5.84478,5.80692
-421.400,5.99035,6.01841,5.97379,6.03110,5.99503,-421.400,5.99035,6.01841,5.97379,6.03110,5.99503,-421.400,5.99035,6.01841,5.97379,6.03110,5.99503,-429.469,5.83876,5.86679,5.82153,5.88094,5.84193,-429.469,5.83876,5.86679,5.82153,5.88094,5.84193,-429.469,5.83876,5.86679,5.82153,5.88094,5.84193
-418.652,6.04050,6.06876,6.02514,6.08354,6.04469,-418.652,6.04050,6.06876,6.02514,6.08354,6.04469,-418.652,6.04050,6.06876,6.02514,6.08354,6.04469,-426.670,5.87822,5.90561,5.85992,5.91939,5.87963,-426.670,5.87822,5.90561,5.85992,5.91939,5.87963,-426.670,5.87822,5.90561,5.85992,5.91939,5.87963
-415.904,6.09092,6.12011,6.07867,6.13583,6.09627,-415.904,6.09092,6.12011,6.07867,6.13583,6.09627,-415.904,6.09092,6.12011,6.07867,6.13583,6.09627,-423.870,5.91854,5.94828,5.90216,5.95963,5.91957,-423.870,5.91854,5.94828,5.90216,5.95963,5.91957,-423.870,5.91854,5.94828,5.90216,5.95963,5.91957
-413.156,6.14192,6.16935,6.13161,6.18611,6.14847,-413.156,6.14192,6.16935,6.13161,6.18611,6.14847,-413.156,6.14192,6.16935,6.13161,6.18611,6.14847,-421.071,5.96138,5.99085,5.94512,6.00112,5.96125,-421.071,5.96138,5.99085,5.94512,6.00112,5.96125,-421.071,5.96138,5.99085,5.94512,6.00112,5.96125
-410.408,6.19195,6.21917,6.18041,6.23377,6.19990,-410.408,6.19195,6.21917,6.18041,6.23377,6.19990,-410.408,6.19195,6.21917,6.18041,6.23377,6.19990,-418.271,6.00546,6.03427,5.98930,6.04561,6.00412,-418.271,6.00546,6.03427,5.98930,6.04561,6.00412,-418.271,6.00546,6.03427,5.98930,6.04561,6.00412
-407.660,6.23911,6.26802,6.22798,6.27919,6.24929,-407.660,6.23911,6.26802,6.22798,6.27919,6.24929,-407.660,6.23911,6.26802,6.22798,6.27919,6.24929,-415.472,6.04973,6.07789,6.03418,6.09278,6.04762,-415.472,6.04973,6.07789,6.03418,6.09278,6.04762,-415.472,6.04973,6.07789,6.03418,6.09278,6.04762
-404.912,6.28499,6.31240,6.27285,6.32318,6.29549,-404.912,6.28499,6.31240,6.27285,6.32318,6.29549,-404.912,6.28499,6.31240,6.27285,6.32318,6.29549,-412.672,6.09389,6.12114,6.07880,6.13894,6.09115,-412.672,6.09389,6.12114,6.07880,6.13894,6.09115,-412.672,6.09389,6.12114,6.07880,6.13894,6.09115
-402.164,6.32433,6.34996,6.31245,6.36162,6.33760,-402.164,6.32433,6.34996,6.31245,6.36162,6.33760,-402.164,6.32433,6.34996,6.31245,6.36162,6.33760,-409.873,6.13726,6.16426,6.12270,6.18343,6.13413,-409.873,6.13726,6.16426,6.12270,6.18343,6.13413,-409.873,6.13726,6.16426,6.12270,6.18343,6.13413
-399.415,6.35976,6.38646,6.34701,6.39713,6.37499,-399.415,6.35976,6.38646,6.34701,6.39713,6.37499,-399.415,6.35976,6.38646,6.34701,6.39713,6.37499,-407.073,6.17960,6.20604,6.16550,6.22569,6.17602,-407.073,6.17960,6.20604,6.16550,6.22569,6.17602,-407.073,6.17960,6.20604,6.16550,6.22569,6.17602
-396.667,6.39090,6.41728,6.37769,6.42814,6.40734,-396.667,6.39090,6.41728,6.37769,6.42814,6.40734,-396.667,6.39090,6.41728,6.37769,6.42814,6.40734,-404.274,6.21925,6.24560,6.20669,6.26527,6.21629,-404.274,6.21925,6.24560,6.20669,6.26527,6.21629,-404.274,6.21925,6.24560,6.20669,6.26527,6.21629
-393.919,6.41827,6.44164,6.40494,6.45362,6.43461,-393.919,6.41827,6.44164,6.40494,6.45362,6.43461,-393.919,6.41827,6.44164,6.40494,6.45362,6.43461,-401.474,6.25697,6.28250,6.24581,6.30182,6.25450,-401.474,6.25697,6.28250,6.24581,6.30182,6.25450,-401.474,6.25697,6.28250,6.24581,6.30182,6.25450
-391.171,6.44133,6.46231,6.42839,6.47397,6.45701,-391.171,6.44133,6.46231,6.42839,6.47397,6.45701,-391.171,6.44133,6.46231,6.42839,6.47397,6.45701,-398.675,6.29245,6.31789,6.28248,6.33512,6.29029,-398.675,6.29245,6.31789,6.28248,6.33512,6.29029,-398.675,6.29245,6.31789,6.28248,6.33512,6.29029
-388.423,6.46052,6.47984,6.44816,6.48976,6.47494,-388.423,6.46052,6.47984,6.44816,6.48976,6.47494,-388.423,6.46052,6.47984,6.44816,6.48976,6.47494,-395.876,6.32526,6.34991,6.31641,6.36584,6.32337,-395.876,6.32526,6.34991,6.31641,6.36584,6.32337,-395.876,6.32526,6.34991,6.31641,6.36584,6.32337
-385.675,6.47568,6.49428,6.46454,6.50199,6.48893,-385.675,6.47568,6.49428,6.46454,6.50199,6.48893,-385.675,6.47568,6.49428,6.46454,6.50199,6.48893,-393.076,6.35522,6.37909,6.34740,6.39352,6.35354,-393.076,6.35522,6.37909,6.34740,6.39352,6.35354,-393.076,6.35522,6.37909,6.34740,6.39352,6.35354
-382.927,6.48763,6.50396,6.47787,6.51166,6.49955,-382.927,6.48763,6.50396,6.47787,6.51166,6.49955,-382.927,6.48763,6.50396,6.47787,6.51166,6.49955,-390.277,6.38201,6.40514,6.37541,6.41772,6.38069,-390.277,6.38201,6.40514,6.37541,6.41772,6.38069,-390.277,6.38201,6.40514,6.37541,6.41772,6.38069
-380.179,6.49694,6.51046,6.48774,6.51873,6.50742,-380.179,6.49694,6.51046,6.48774,6.51873,6.50742,-380.179,6.49694,6.51046,6.48774,6.51873,6.50742,-387.477,6.40607,6.42757,6.40060,6.43857,6.40482,-387.477,6.40607,6.42757,6.40060,6.43857,6.40482,-387.477,6.40607,6.42757,6.40060,6.43857,6.40482
